Security_1,Security_2,Last_Spread,Z_Score,Max,Min,Last_vs_Max,Last_vs_Min,Percentile,XCCY,Custom_Sector_1,Custom_Sector_2,Rating_1,Rating_2,Currency_1,Currency_2,Ticker_1,Ticker_2,CPN_TYPE_1,CPN_TYPE_2,Yrs_Mat_Bucket_1,Yrs_Mat_Bucket_2,Yrs_Since_Issue_Bucket_1,Yrs_Since_Issue_Bucket_2,Own?,Best Bid_runs1,Best Offer_runs1,Bid/Offer_runs1,Dealer @ Best Bid_runs1,Dealer @ Best Offer_runs1,Size @ Best Bid_runs1,Size @ Best Offer_runs1,G Spread_runs1,Keyword_runs1,Best Bid_runs2,Best Offer_runs2,Bid/Offer_runs2,Dealer @ Best Bid_runs2,Dealer @ Best Offer_runs2,Size @ Best Bid_runs2,Size @ Best Offer_runs2,G Spread_runs2,Keyword_runs2
ALCTRA 1.751 02/11/31,ATDBCN 3 5/8 05/13/51,-88.4049,-1.1186,-40.4699,-102.2263,-47.9350,13.8214,21.2302,-70.7917,Utility,Non Financial Maples,A-,BBB+,CAD,USD,ALCTRA,ATDBCN,FIXED,FIXED,5.1-7.1,>25.1,3-5,3-5,0,46.0000,41.0000,5.0000,TD,TD,3000000.0000,3000000.0000,53.9900,,,,,,,,,,
BCECN 4.05 03/17/51,BNS 1.4 11/01/27,139.7406,-1.1181,162.6187,132.4021,-22.8781,7.3385,13.2937,138.7332,Cable/Telco,Bail In,BBB,A,CAD,CAD,BCECN,BNS,FIXED,FIXED,>25.1,2.1-3.1,3-5,3-5,0,160.0000,150.0000,10.0000,RBC,RBC,3000000.0000,5000000.0000,158.8000,AXE,22.0000,18.0000,4.0000,TD,BMO,5000000.0000,5000000.0000,21.0000,
BCECN 4.05 03/17/51,BCIMCR 1.747 07/24/30,95.5356,-1.1138,127.2098,85.7515,-31.6742,9.7841,18.8492,92.6190,Cable/Telco,Pension,BBB,NR,CAD,CAD,BCECN,BCIMCR,FIXED,FIXED,>25.1,4.1-5.1,3-5,3-5,0,160.0000,150.0000,10.0000,RBC,RBC,3000000.0000,5000000.0000,158.8000,AXE,66.0000,,,NBF,,5000000.0000,,66.0000,
ATDBCN 3.439 05/13/41,BAC 1.978 09/15/27,82.3963,1.1119,97.6191,50.2625,-15.2228,32.1339,76.7857,83.0808,Non Financial Maples,Financial Maples,BBB+,A,USD,CAD,ATDBCN,BAC,FIXED,VARIABLE,10.1-25.1,2.1-3.1,3-5,3-5,0,,,,,,,,,,53.0000,48.0000,5.0000,TD,TD,5000000.0000,5000000.0000,55.3500,
AQNCN 2.85 07/15/31,BCECN 4.05 03/17/51,-174.5191,1.1110,-161.3608,-218.6150,-13.1583,44.0959,83.9286,-153.8728,Power Gen/Renewable,Cable/Telco,NR,BBB,CAD,CAD,AQNCN,BCECN,FIXED,FIXED,5.1-7.1,>25.1,3-5,3-5,0,,,,,,,,,,160.0000,150.0000,10.0000,RBC,RBC,3000000.0000,5000000.0000,158.8000,AXE
BAC 2.598 04/04/29,BCECN 4.05 03/17/51,-98.2291,1.1084,-87.6951,-127.3858,-10.5340,29.1567,84.3254,-100.4937,Financial Maples,Cable/Telco,A,BBB,CAD,CAD,BAC,BCECN,VARIABLE,FIXED,3.1-4.1,>25.1,3-5,3-5,0,54.0000,48.0000,6.0000,TD,TD,3000000.0000,3000000.0000,71.9600,,160.0000,150.0000,10.0000,RBC,RBC,3000000.0000,5000000.0000,158.8000,AXE
ALTALK 1.509 09/11/30,CRLETN 3.264 07/05/61,-101.9288,-1.1078,-75.8826,-106.3749,-26.0463,4.4461,13.2937,-101.8925,Utility,University,A-,NR,CAD,CAD,ALTALK,CRLETN,FIXED,FIXED,5.1-7.1,>25.1,3-5,3-5,0,36.0000,26.0000,10.0000,RBC,RBC,3000000.0000,3000000.0000,33.0600,,,,,,,,,,
BMO 4.3 11/26/2080,BRPCN 5 1/8 06/15/29,-227.9628,-1.1063,-63.8207,-243.3840,-164.1420,15.4213,6.9444,-217.7451,Financial Hybrid,Other,BBB-,B+,CAD,CAD,BMO,BRPCN,VARIABLE,FIXED,>25.1,3.1-4.1,3-5,3-5,0,183.0000,123.1200,59.8800,NBF,CIBC,3000000.0000,3000000.0000,184.1100,,,,,,,,,,
ATDBCN 3.439 05/13/41,BAC 2.598 04/04/29,75.8045,1.1048,87.1696,35.4962,-11.3651,40.3083,74.0079,82.1991,Non Financial Maples,Financial Maples,BBB+,A,USD,CAD,ATDBCN,BAC,FIXED,VARIABLE,10.1-25.1,3.1-4.1,3-5,3-5,0,,,,,,,,,,54.0000,48.0000,6.0000,TD,TD,3000000.0000,3000000.0000,71.9600,
ATDBCN 3 5/8 05/13/51,BCECN 3 03/17/31,38.2047,1.1006,49.4202,4.3312,-11.2155,33.8735,80.3571,18.4010,Non Financial Maples,Cable/Telco,BBB+,BBB,USD,CAD,ATDBCN,BCECN,FIXED,FIXED,>25.1,5.1-7.1,3-5,3-5,0,,,,,,,,,,98.0000,94.0000,4.0000,TD,RBC,10000000.0000,5000000.0000,96.1000,AXE
BCECN 4.05 03/17/51,CRLETN 3.264 07/05/61,19.7120,-1.0999,54.8412,3.5566,-35.1292,16.1555,18.4524,19.4881,Cable/Telco,University,BBB,NR,CAD,CAD,BCECN,CRLETN,FIXED,FIXED,>25.1,>25.1,3-5,3-5,0,160.0000,150.0000,10.0000,RBC,RBC,3000000.0000,5000000.0000,158.8000,AXE,,,,,,,,,
BCECN 3 03/17/31,BNS 2.15 08/01/31,37.3070,1.0972,43.5775,4.9360,-6.2705,32.3710,91.8651,32.1733,Cable/Telco,Bail In,BBB,A,CAD,USD,BCECN,BNS,FIXED,FIXED,5.1-7.1,5.1-7.1,3-5,3-5,0,98.0000,94.0000,4.0000,TD,RBC,10000000.0000,5000000.0000,96.1000,AXE,,,,,,,,,
BAC 1.658 03/11/27,CRRUCN 2.686 03/31/28,-52.7421,-1.0951,-11.3298,-68.3609,-41.4123,15.6189,12.8968,-73.8972,Financial Maples,REIT,A,NR,USD,CAD,BAC,CRRUCN,VARIABLE,FIXED,1-2.1,2.1-3.1,3-5,3-5,0,,,,,,,,,,95.0000,,,SCM,,3000000.0000,,97.0000,
BAC Float 09/15/27,BRPCN 5 1/8 06/15/29,-328.9164,-1.0916,-89.7658,-358.0085,-239.1506,29.0921,24.8016,-402.9718,Financial FRN,Other,A,B+,CAD,CAD,BAC,BRPCN,FLOATING,FIXED,2.1-3.1,3.1-4.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
ATDBCN 3 5/8 05/13/51,BCECN 3.65 03/17/51,26.8488,1.0901,40.5975,-3.6922,-13.7488,30.5410,79.7619,11.7139,Non Financial Maples,Cable/Telco,BBB+,BBB,USD,USD,ATDBCN,BCECN,FIXED,FIXED,>25.1,>25.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
BCECN 3 03/17/31,CCOCN 2.95 10/21/27,39.3334,1.0878,41.8892,18.3764,-2.5557,20.9570,92.6587,37.9592,Cable/Telco,Other,BBB,BBB-,CAD,CAD,BCECN,CCOCN,FIXED,FIXED,5.1-7.1,2.1-3.1,3-5,3-5,0,98.0000,94.0000,4.0000,TD,RBC,10000000.0000,5000000.0000,96.1000,AXE,63.0000,53.0000,10.0000,NBF,NBF,5000000.0000,2000000.0000,58.1200,AXE
BAC 1.658 03/11/27,BNCN 3 1/2 03/30/51,-68.2631,-1.0870,-18.3778,-86.7080,-49.8853,18.4449,19.6429,-82.5062,Financial Maples,Asset Manager,A,A-,USD,USD,BAC,BNCN,VARIABLE,FIXED,1-2.1,>25.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
BAC Float 09/15/27,BNCN 3 1/2 03/30/51,-36.0446,-1.0866,177.2503,-51.1863,-213.2950,15.1416,16.8651,-99.8451,Financial FRN,Asset Manager,A,A-,CAD,USD,BAC,BNCN,FLOATING,FIXED,2.1-3.1,>25.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
BNCN 3 1/2 03/30/51,CCOCN 2.95 10/21/27,53.6196,1.0861,63.2633,23.9549,-9.6436,29.6648,78.3730,44.3181,Asset Manager,Other,A-,BBB-,USD,CAD,BNCN,CCOCN,FIXED,FIXED,>25.1,2.1-3.1,3-5,3-5,0,,,,,,,,,,63.0000,53.0000,10.0000,NBF,NBF,5000000.0000,2000000.0000,58.1200,AXE
ALTALK 1.509 09/11/30,BAC Float 09/15/27,-36.7764,1.0843,-26.9190,-215.3362,-9.8574,178.5598,88.2937,32.4922,Utility,Financial FRN,A-,A,CAD,CAD,ALTALK,BAC,FIXED,FLOATING,5.1-7.1,2.1-3.1,3-5,3-5,0,36.0000,26.0000,10.0000,RBC,RBC,3000000.0000,3000000.0000,33.0600,,,,,,,,,,
BAC Float 09/15/27,BCECN 2.2 05/29/28,28.9823,-1.0771,213.2456,17.0570,-184.2634,11.9253,11.3095,-50.1561,Financial FRN,Cable/Telco,A,BBB,CAD,CAD,BAC,BCECN,FLOATING,FIXED,2.1-3.1,2.1-3.1,3-5,3-5,0,,,,,,,,,,51.0000,,,CIBC,,3000000.0000,,49.0000,
AERMON 3.441 04/26/51,ATDBCN 3 5/8 05/13/51,-30.8899,-1.0749,5.6723,-44.0226,-36.5622,13.1327,23.2143,-11.5129,Airport,Non Financial Maples,A+,BBB+,CAD,USD,AERMON,ATDBCN,FIXED,FIXED,>25.1,>25.1,3-5,3-5,0,104.0000,98.0000,6.0000,TD,RBC,5000000.0000,5000000.0000,103.7400,AXE,,,,,,,,,
BAC 1.658 03/11/27,CNQCN 2 1/2 01/17/28,-24.2715,-1.0737,28.6022,-31.5396,-52.8737,7.2681,8.9286,-45.9260,Financial Maples,Oil & Gas,A,BBB,USD,CAD,BAC,CNQCN,VARIABLE,FIXED,1-2.1,2.1-3.1,3-5,3-5,0,,,,,,,,,,65.0000,60.0000,5.0000,CIBC,SCM,3000000.0000,3000000.0000,66.8300,
ARXCN 3.465 03/10/31,BCECN 1.65 08/16/27,75.8951,-1.0696,108.5773,71.0051,-32.6823,4.8899,12.5000,74.1952,Oil & Gas,Cable/Telco,NR,BBB,CAD,CAD,ARXCN,BCECN,FIXED,FIXED,5.1-7.1,2.1-3.1,3-5,3-5,0,112.0000,106.0000,6.0000,RBC,CIBC,5000000.0000,2950000.0000,110.0000,,30.0000,,,NBF,,5000000.0000,,38.7000,
ALACN 2.075 05/30/28,CIXCN 4.1 06/15/51,-86.7403,1.0692,-78.1819,-123.9114,-8.5584,37.1711,85.9127,-66.6779,Midstream,Asset Manager,BBB-,NR,CAD,USD,ALACN,CIXCN,FIXED,FIXED,2.1-3.1,>25.1,3-5,3-5,0,73.0000,70.0000,3.0000,TD,NBF,5000000.0000,10000000.0000,79.0000,,,,,,,,,,
BCECN 2.2 05/29/28,CRRUCN 2.686 03/31/28,-49.5058,-1.0688,-22.3704,-65.8690,-27.1354,16.3632,18.4524,-41.0799,Cable/Telco,REIT,BBB,NR,CAD,CAD,BCECN,CRRUCN,FIXED,FIXED,2.1-3.1,2.1-3.1,3-5,3-5,0,51.0000,,,CIBC,,3000000.0000,,49.0000,,95.0000,,,SCM,,3000000.0000,,97.0000,
ALACN 2.075 05/30/28,BCECN 2.2 05/29/28,25.8915,1.0681,44.0960,3.1336,-18.2046,22.7579,85.5159,19.1196,Midstream,Cable/Telco,BBB-,BBB,CAD,CAD,ALACN,BCECN,FIXED,FIXED,2.1-3.1,2.1-3.1,3-5,3-5,0,73.0000,70.0000,3.0000,TD,NBF,5000000.0000,10000000.0000,79.0000,,51.0000,,,CIBC,,3000000.0000,,49.0000,
ATDBCN 3.439 05/13/41,BNS 1.4 11/01/27,117.3160,1.0661,131.1916,72.7057,-13.8756,44.6102,74.0079,120.4386,Non Financial Maples,Bail In,BBB+,A,USD,CAD,ATDBCN,BNS,FIXED,FIXED,10.1-25.1,2.1-3.1,3-5,3-5,0,,,,,,,,,,22.0000,18.0000,4.0000,TD,BMO,5000000.0000,5000000.0000,21.0000,
ALACN 2.075 05/30/28,BAMREP 3.33 08/13/50,-88.8934,1.0634,-83.8850,-104.8561,-5.0084,15.9627,80.7540,-88.6670,Midstream,Power Gen/Renewable,BBB-,BBB+,CAD,CAD,ALACN,BAMREP,FIXED,FIXED,2.1-3.1,>25.1,3-5,3-5,0,73.0000,70.0000,3.0000,TD,NBF,5000000.0000,10000000.0000,79.0000,,160.0000,,,NBF,,5000000.0000,,160.0000,
BAC 1.734 07/22/27,BAC Float 09/15/27,-21.0093,1.0627,12.9010,-228.1556,-33.9103,207.1463,84.7222,33.7334,Financial Maples,Financial FRN,A,A,USD,CAD,BAC,BAC,VARIABLE,FLOATING,1-2.1,2.1-3.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
BCIMCR 1.747 07/24/30,CIXCN 4.1 06/15/51,-94.3206,1.0608,-88.2581,-128.1455,-6.0625,33.8249,82.3413,-74.6998,Pension,Asset Manager,NR,NR,CAD,USD,BCIMCR,CIXCN,FIXED,FIXED,4.1-5.1,>25.1,3-5,3-5,0,66.0000,,,NBF,,5000000.0000,,66.0000,,,,,,,,,,
AERQUE 2.936 05/31/31,ATDBCN 3 5/8 05/13/51,-33.3495,-1.0604,47.0129,-39.1525,-80.3624,5.8030,14.8810,-13.5824,Other,Non Financial Maples,nan,BBB+,CAD,USD,AERQUE,ATDBCN,FIXED,FIXED,5.1-7.1,>25.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
BAC Float 09/15/27,CIXCN 4.1 06/15/51,-83.6495,-1.0588,88.5543,-104.7781,-172.2038,21.1286,17.2619,-135.9536,Financial FRN,Asset Manager,A,NR,CAD,USD,BAC,CIXCN,FLOATING,FIXED,2.1-3.1,>25.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
ALCTRA 1.751 02/11/31,ALTALK 1.509 09/11/30,8.3347,1.0583,14.9175,-10.8646,-6.5829,19.1993,90.2778,8.6032,Utility,Utility,A-,A-,CAD,CAD,ALCTRA,ALTALK,FIXED,FIXED,5.1-7.1,5.1-7.1,3-5,3-5,0,46.0000,41.0000,5.0000,TD,TD,3000000.0000,3000000.0000,53.9900,,36.0000,26.0000,10.0000,RBC,RBC,3000000.0000,3000000.0000,33.0600,
ALCTRA 1.751 02/11/31,ATDBCN 3.439 05/13/41,-90.8816,-1.0547,-43.7422,-106.7713,-47.1395,15.8897,25.1984,-94.4827,Utility,Non Financial Maples,A-,BBB+,CAD,USD,ALCTRA,ATDBCN,FIXED,FIXED,5.1-7.1,10.1-25.1,3-5,3-5,0,46.0000,41.0000,5.0000,TD,TD,3000000.0000,3000000.0000,53.9900,,,,,,,,,,
AQNCN 2.85 07/15/31,CM 2.01 07/21/30,-38.3190,1.0546,-24.2424,-71.8191,-14.0766,33.5001,85.5159,-26.8677,Power Gen/Renewable,NVCC Sub Debt,NR,BBB+,CAD,CAD,AQNCN,CM,FIXED,VARIABLE,5.1-7.1,4.1-5.1,3-5,3-5,1,,,,,,,,,,16.0000,15.0000,1.0000,NBF,BMO,10000000.0000,5000000.0000,15.9300,
BAMREP 3.33 08/13/50,CCDJ 1.992 05/28/31,124.4278,1.0535,131.3315,107.3396,-6.9037,17.0882,83.9286,123.0507,Power Gen/Renewable,Non Major Sub Debt,BBB+,A-,CAD,CAD,BAMREP,CCDJ,FIXED,VARIABLE,>25.1,5.1-7.1,3-5,3-5,0,160.0000,,,NBF,,5000000.0000,,160.0000,,38.0000,28.0000,10.0000,NBF,NBF,25000000.0000,5000000.0000,37.0200,AXE
BRPCN 5 1/8 06/15/29,CCDJ 1.992 05/28/31,367.5415,1.0532,405.8019,257.6543,-38.2604,109.8873,75.5952,368.0798,Other,Non Major Sub Debt,B+,A-,CAD,CAD,BRPCN,CCDJ,FIXED,VARIABLE,3.1-4.1,5.1-7.1,3-5,3-5,0,,,,,,,,,,38.0000,28.0000,10.0000,NBF,NBF,25000000.0000,5000000.0000,37.0200,AXE
ALACN 2.166 03/16/27,ATDBCN 3.439 05/13/41,-74.7677,-1.0531,-43.5318,-88.2797,-31.2359,13.5120,23.2143,-75.6965,Midstream,Non Financial Maples,BBB-,BBB+,CAD,USD,ALACN,ATDBCN,FIXED,FIXED,1-2.1,10.1-25.1,3-5,3-5,0,63.0000,,,NBF,,5000000.0000,,69.0000,,,,,,,,,,
ALACN 2.075 05/30/28,ARXCN 3.465 03/10/31,-38.8125,1.0523,-32.0554,-52.6181,-6.7571,13.8056,88.6905,-37.8748,Midstream,Oil & Gas,BBB-,NR,CAD,CAD,ALACN,ARXCN,FIXED,FIXED,2.1-3.1,5.1-7.1,3-5,3-5,0,73.0000,70.0000,3.0000,TD,NBF,5000000.0000,10000000.0000,79.0000,,112.0000,106.0000,6.0000,RBC,CIBC,5000000.0000,2950000.0000,110.0000,
ARXCN 3.465 03/10/31,BNCN 3 1/2 03/30/51,-0.3230,-1.0520,25.8686,-9.0619,-26.1916,8.7389,22.8175,7.3055,Oil & Gas,Asset Manager,NR,A-,CAD,USD,ARXCN,BNCN,FIXED,FIXED,5.1-7.1,>25.1,3-5,3-5,0,112.0000,106.0000,6.0000,RBC,CIBC,5000000.0000,2950000.0000,110.0000,,,,,,,,,,
BAC 1.658 03/11/27,BRPCN 5 1/8 06/15/29,-361.1349,-1.0518,-246.8280,-407.1010,-114.3069,45.9662,21.2302,-385.6330,Financial Maples,Other,A,B+,USD,CAD,BAC,BRPCN,VARIABLE,FIXED,1-2.1,3.1-4.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
ARXCN 3.465 03/10/31,BAC Float 09/15/27,35.7217,1.0505,47.0342,-156.5379,-11.3125,192.2595,83.5317,107.1505,Oil & Gas,Financial FRN,NR,A,CAD,CAD,ARXCN,BAC,FIXED,FLOATING,5.1-7.1,2.1-3.1,3-5,3-5,0,112.0000,106.0000,6.0000,RBC,CIBC,5000000.0000,2950000.0000,110.0000,,,,,,,,,,
BAC 1.978 09/15/27,CM 2.01 07/21/30,31.3792,1.0500,44.1750,8.5177,-12.7958,22.8615,84.7222,25.6296,Financial Maples,NVCC Sub Debt,A,BBB+,CAD,CAD,BAC,CM,VARIABLE,VARIABLE,2.1-3.1,4.1-5.1,3-5,3-5,1,53.0000,48.0000,5.0000,TD,TD,5000000.0000,5000000.0000,55.3500,,16.0000,15.0000,1.0000,NBF,BMO,10000000.0000,5000000.0000,15.9300,
BCECN 4.05 03/17/51,CNQCN 2 1/2 01/17/28,92.8114,-1.0492,128.3186,78.8658,-35.5072,13.9456,27.1825,90.6080,Cable/Telco,Oil & Gas,BBB,BBB,CAD,CAD,BCECN,CNQCN,FIXED,FIXED,>25.1,2.1-3.1,3-5,3-5,0,160.0000,150.0000,10.0000,RBC,RBC,3000000.0000,5000000.0000,158.8000,AXE,65.0000,60.0000,5.0000,CIBC,SCM,3000000.0000,3000000.0000,66.8300,
BNCN 2.724 04/15/31,BNCN 3 1/2 03/30/51,-38.1382,-1.0479,-12.3806,-44.8897,-25.7576,6.7515,19.2460,-28.2595,Asset Manager,Asset Manager,A-,A-,USD,USD,BNCN,BNCN,FIXED,FIXED,5.1-7.1,>25.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
AQNCN 2.85 07/15/31,CM 1.96 04/21/31,-46.6665,1.0469,-23.4479,-96.9189,-23.2186,50.2524,81.1508,-31.3120,Power Gen/Renewable,NVCC Sub Debt,NR,BBB+,CAD,CAD,AQNCN,CM,FIXED,VARIABLE,5.1-7.1,5.1-7.1,3-5,3-5,0,,,,,,,,,,32.0000,31.0000,1.0000,CIBC,NBF,20000000.0000,5000000.0000,31.5800,
AERQUE 2.936 05/31/31,BCECN 1.65 08/16/27,66.7870,-1.0463,128.7144,57.2002,-61.9274,9.5868,13.6905,65.3495,Other,Cable/Telco,nan,BBB,CAD,CAD,AERQUE,BCECN,FIXED,FIXED,5.1-7.1,2.1-3.1,3-5,3-5,0,,,,,,,,,,30.0000,,,NBF,,5000000.0000,,38.7000,
BAC 2.087 06/14/29,BAC Float 09/15/27,-12.0075,1.0457,6.5270,-220.3596,-18.5345,208.3521,80.7540,65.0753,Financial Maples,Financial FRN,A,A,USD,CAD,BAC,BAC,VARIABLE,FLOATING,3.1-4.1,2.1-3.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
ARXCN 3.465 03/10/31,CCDJ 1.992 05/28/31,74.3468,1.0455,80.7754,53.6619,-6.4286,20.6850,82.3413,72.2585,Oil & Gas,Non Major Sub Debt,NR,A-,CAD,CAD,ARXCN,CCDJ,FIXED,VARIABLE,5.1-7.1,5.1-7.1,3-5,3-5,0,112.0000,106.0000,6.0000,RBC,CIBC,5000000.0000,2950000.0000,110.0000,,38.0000,28.0000,10.0000,NBF,NBF,25000000.0000,5000000.0000,37.0200,AXE
BAC 1.978 09/15/27,CIXCN 4.1 06/15/51,-103.6060,1.0431,-98.8136,-139.8449,-4.7924,36.2389,85.5159,-83.4563,Financial Maples,Asset Manager,A,NR,CAD,USD,BAC,CIXCN,VARIABLE,FIXED,2.1-3.1,>25.1,3-5,3-5,0,53.0000,48.0000,5.0000,TD,TD,5000000.0000,5000000.0000,55.3500,,,,,,,,,,
ALTALK 1.509 09/11/30,AQNCN 2.85 07/15/31,52.8783,-1.0373,87.7397,40.0946,-34.8614,12.7837,18.4524,32.4922,Utility,Power Gen/Renewable,A-,NR,CAD,CAD,ALTALK,AQNCN,FIXED,FIXED,5.1-7.1,5.1-7.1,3-5,3-5,1,36.0000,26.0000,10.0000,RBC,RBC,3000000.0000,3000000.0000,33.0600,,,,,,,,,,
AERQUE 2.936 05/31/31,ATDBCN 3.439 05/13/41,-35.8262,-1.0352,47.0041,-42.7758,-82.8303,6.9496,25.9921,-37.2733,Other,Non Financial Maples,nan,BBB+,CAD,USD,AERQUE,ATDBCN,FIXED,FIXED,5.1-7.1,10.1-25.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
BAC Float 09/15/27,BMO 0.949 01/22/27,28.0296,-1.0325,223.4682,1.5000,-195.4386,26.5296,16.0714,-20.5808,Financial FRN,Bail In,A,A,CAD,USD,BAC,BMO,FLOATING,VARIABLE,2.1-3.1,1-2.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
BAC Float 09/15/27,CCOCN 2.95 10/21/27,17.5750,-1.0244,210.4205,4.4725,-192.8455,13.1025,13.6905,-55.5270,Financial FRN,Other,A,BBB-,CAD,CAD,BAC,CCOCN,FLOATING,FIXED,2.1-3.1,2.1-3.1,3-5,3-5,0,,,,,,,,,,63.0000,53.0000,10.0000,NBF,NBF,5000000.0000,2000000.0000,58.1200,AXE
BNCN 2.724 04/15/31,BRPCN 5 1/8 06/15/29,-331.0100,-1.0242,-243.6363,-379.8685,-87.3737,48.8586,19.2460,-331.3862,Asset Manager,Other,A-,B+,USD,CAD,BNCN,BRPCN,FIXED,FIXED,5.1-7.1,3.1-4.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
BAC 2.598 04/04/29,CM 2.01 07/21/30,37.9710,1.0239,48.8447,17.1770,-10.8737,20.7940,83.5317,26.5114,Financial Maples,NVCC Sub Debt,A,BBB+,CAD,CAD,BAC,CM,VARIABLE,VARIABLE,3.1-4.1,4.1-5.1,3-5,3-5,1,54.0000,48.0000,6.0000,TD,TD,3000000.0000,3000000.0000,71.9600,,16.0000,15.0000,1.0000,NBF,BMO,10000000.0000,5000000.0000,15.9300,
BAC Float 09/15/27,BNCN 2.724 04/15/31,2.0936,-1.0194,208.3105,-22.6125,-206.2169,24.7061,22.8175,-71.5856,Financial FRN,Asset Manager,A,A-,CAD,USD,BAC,BNCN,FLOATING,FIXED,2.1-3.1,5.1-7.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
BAC 1.197 10/24/26,BAC Float 09/15/27,-35.5661,1.0191,19.3740,-226.2867,-54.9401,190.7206,85.9127,14.9683,Financial Maples,Financial FRN,A,A,USD,CAD,BAC,BAC,VARIABLE,FLOATING,1-2.1,2.1-3.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
BCIMCR 1.747 07/24/30,BNS 2.15 08/01/31,4.8774,1.0187,14.4200,-25.0635,-9.5426,29.9410,88.2937,-0.0591,Pension,Bail In,NR,A,CAD,USD,BCIMCR,BNS,FIXED,FIXED,4.1-5.1,5.1-7.1,3-5,3-5,0,66.0000,,,NBF,,5000000.0000,,66.0000,,,,,,,,,,
BCECN 2.2 05/29/28,CM 1.96 04/21/31,14.0059,1.0157,21.7947,-17.7248,-7.7888,31.7307,81.9444,18.8442,Cable/Telco,NVCC Sub Debt,BBB,BBB+,CAD,CAD,BCECN,CM,FIXED,VARIABLE,2.1-3.1,5.1-7.1,3-5,3-5,0,51.0000,,,CIBC,,3000000.0000,,49.0000,,32.0000,31.0000,1.0000,CIBC,NBF,20000000.0000,5000000.0000,31.5800,
ATDBCN 3.439 05/13/41,BCECN 3 03/17/31,40.6815,1.0121,54.7835,2.2081,-14.1020,38.4733,72.8175,42.0920,Non Financial Maples,Cable/Telco,BBB+,BBB,USD,CAD,ATDBCN,BCECN,FIXED,FIXED,10.1-25.1,5.1-7.1,3-5,3-5,0,,,,,,,,,,98.0000,94.0000,4.0000,TD,RBC,10000000.0000,5000000.0000,96.1000,AXE
BNS 2.15 08/01/31,BRPCN 5 1/8 06/15/29,-344.4649,-1.0110,-244.2341,-387.1234,-100.2308,42.6585,25.1984,-341.6589,Bail In,Other,A,B+,USD,CAD,BNS,BRPCN,FIXED,FIXED,5.1-7.1,3.1-4.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
ATDBCN 3.439 05/13/41,BCECN 3.65 03/17/51,29.3255,1.0106,41.9572,-4.9236,-12.6317,34.2491,80.1587,35.4049,Non Financial Maples,Cable/Telco,BBB+,BBB,USD,USD,ATDBCN,BCECN,FIXED,FIXED,10.1-25.1,>25.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
BIP 2.855 09/01/32,CIXCN 4.1 06/15/51,-47.1976,1.0095,-39.1644,-79.1332,-8.0333,31.9356,78.3730,-25.3160,Infastructure,Asset Manager,BBB+,NR,CAD,USD,BIP,CIXCN,FIXED,FIXED,7.1-10.1,>25.1,3-5,3-5,0,112.0000,,,RBC,,5000000.0000,,110.0000,,,,,,,,,,
BAC Float 09/15/27,BNS 2.15 08/01/31,15.5486,-1.0087,215.4422,0.3122,-199.8936,15.2363,15.2778,-61.3129,Financial FRN,Bail In,A,A,CAD,USD,BAC,BNS,FLOATING,FIXED,2.1-3.1,5.1-7.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
AERMON 3.441 04/26/51,ATDBCN 3.439 05/13/41,-33.3666,-1.0069,3.6390,-46.3965,-37.0056,13.0299,29.5635,-35.2039,Airport,Non Financial Maples,A+,BBB+,CAD,USD,AERMON,ATDBCN,FIXED,FIXED,>25.1,10.1-25.1,3-5,3-5,0,104.0000,98.0000,6.0000,TD,RBC,5000000.0000,5000000.0000,103.7400,AXE,,,,,,,,,
CCDJ 1.992 05/28/31,CCOCN 2.95 10/21/27,-21.0502,-1.0059,-2.1921,-28.0902,-18.8580,7.0400,18.8492,-20.6349,Non Major Sub Debt,Other,A-,BBB-,CAD,CAD,CCDJ,CCOCN,VARIABLE,FIXED,5.1-7.1,2.1-3.1,3-5,3-5,0,38.0000,28.0000,10.0000,NBF,NBF,25000000.0000,5000000.0000,37.0200,AXE,63.0000,53.0000,10.0000,NBF,NBF,5000000.0000,2000000.0000,58.1200,AXE
BRPCN 5 1/8 06/15/29,CIXCN 4.1 06/15/51,245.2669,1.0058,281.0765,131.4202,-35.8097,113.8466,76.3889,267.0182,Other,Asset Manager,B+,NR,CAD,USD,BRPCN,CIXCN,FIXED,FIXED,3.1-4.1,>25.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
