Security_1,Security_2,Last_Spread,Z_Score,Max,Min,Last_vs_Max,Last_vs_Min,Percentile,XCCY,Custom_Sector_1,Custom_Sector_2,Rating_1,Rating_2,Currency_1,Currency_2,Ticker_1,Ticker_2,CPN_TYPE_1,CPN_TYPE_2,Yrs_Mat_Bucket_1,Yrs_Mat_Bucket_2,Yrs_Since_Issue_Bucket_1,Yrs_Since_Issue_Bucket_2,Own?,Best Bid_runs1,Best Offer_runs1,Bid/Offer_runs1,Dealer @ Best Bid_runs1,Dealer @ Best Offer_runs1,Size @ Best Bid_runs1,Size @ Best Offer_runs1,G Spread_runs1,Keyword_runs1,Best Bid_runs2,Best Offer_runs2,Bid/Offer_runs2,Dealer @ Best Bid_runs2,Dealer @ Best Offer_runs2,Size @ Best Bid_runs2,Size @ Best Offer_runs2,G Spread_runs2,Keyword_runs2
ATDBCN 3 5/8 05/13/51,CM 1.96 04/21/31,102.9513,2.2276,102.9513,49.7901,0.0000,53.1612,99.8016,80.5752,Non Financial Maples,NVCC Sub Debt,BBB+,BBB+,USD,CAD,ATDBCN,CM,FIXED,VARIABLE,>25.1,5.1-7.1,3-5,3-5,0,,,,,,,,,,32.0000,31.0000,1.0000,CIBC,NBF,20000000.0000,5000000.0000,31.5800,
CM 1.96 04/21/31,CNQCN 2 1/2 01/17/28,-35.0412,-2.2221,-3.1535,-35.0412,-31.8877,0.0000,0.5952,-31.9528,NVCC Sub Debt,Oil & Gas,BBB+,BBB,CAD,CAD,CM,CNQCN,VARIABLE,FIXED,5.1-7.1,2.1-3.1,3-5,3-5,0,32.0000,31.0000,1.0000,CIBC,NBF,20000000.0000,5000000.0000,31.5800,,65.0000,60.0000,5.0000,CIBC,SCM,3000000.0000,3000000.0000,66.8300,
BCECN 2.2 05/29/28,BCECN 3 03/17/31,-50.7407,-2.2206,-31.0685,-60.8929,-19.6722,10.1522,1.7857,-43.3300,Cable/Telco,Cable/Telco,BBB,BBB,CAD,CAD,BCECN,BCECN,FIXED,FIXED,2.1-3.1,5.1-7.1,3-5,3-5,0,51.0000,,,CIBC,,3000000.0000,,49.0000,,98.0000,94.0000,4.0000,TD,RBC,10000000.0000,5000000.0000,96.1000,AXE
ATDBCN 3.439 05/13/41,BNCN 3 1/2 03/30/51,26.3952,2.2126,26.6269,2.7359,-0.2317,23.6593,99.2063,35.7331,Non Financial Maples,Asset Manager,BBB+,A-,USD,USD,ATDBCN,BNCN,FIXED,FIXED,10.1-25.1,>25.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
ALACN 2.075 05/30/28,CM 1.96 04/21/31,39.8974,2.2042,42.4143,14.3694,-2.5169,25.5279,95.4365,37.9638,Midstream,NVCC Sub Debt,BBB-,BBB+,CAD,CAD,ALACN,CM,FIXED,VARIABLE,2.1-3.1,5.1-7.1,3-5,3-5,0,73.0000,70.0000,3.0000,TD,NBF,5000000.0000,10000000.0000,79.0000,,32.0000,31.0000,1.0000,CIBC,NBF,20000000.0000,5000000.0000,31.5800,
ATDBCN 3 5/8 05/13/51,BNS 2.15 08/01/31,75.5117,2.1922,77.2246,31.9309,-1.7129,43.5808,99.0079,50.5743,Non Financial Maples,Bail In,BBB+,A,USD,USD,ATDBCN,BNS,FIXED,FIXED,>25.1,5.1-7.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
AERMON 3.441 04/26/51,CM 1.96 04/21/31,72.0614,2.1563,74.2160,39.9128,-2.1546,32.1486,99.0079,69.0623,Airport,NVCC Sub Debt,A+,BBB+,CAD,CAD,AERMON,CM,FIXED,VARIABLE,>25.1,5.1-7.1,3-5,3-5,0,104.0000,98.0000,6.0000,TD,RBC,5000000.0000,5000000.0000,103.7400,AXE,32.0000,31.0000,1.0000,CIBC,NBF,20000000.0000,5000000.0000,31.5800,
AERMON 3.441 04/26/51,ALTALK 1.509 09/11/30,65.8497,2.0992,67.6004,49.3152,-1.7508,16.5344,95.0397,67.8821,Airport,Utility,A+,A-,CAD,CAD,AERMON,ALTALK,FIXED,FIXED,>25.1,5.1-7.1,3-5,3-5,0,104.0000,98.0000,6.0000,TD,RBC,5000000.0000,5000000.0000,103.7400,AXE,36.0000,26.0000,10.0000,RBC,RBC,3000000.0000,3000000.0000,33.0600,
ARXCN 3.465 03/10/31,ATDBCN 3 5/8 05/13/51,-24.2414,-2.0895,11.1165,-26.6275,-35.3579,2.3861,2.1825,-4.7366,Oil & Gas,Non Financial Maples,NR,BBB+,CAD,USD,ARXCN,ATDBCN,FIXED,FIXED,5.1-7.1,>25.1,3-5,3-5,0,112.0000,106.0000,6.0000,RBC,CIBC,5000000.0000,2950000.0000,110.0000,,,,,,,,,,
ATDBCN 3.439 05/13/41,BNCN 2.724 04/15/31,64.5335,2.0775,64.7950,18.7238,-0.2615,45.8097,99.4048,63.9926,Non Financial Maples,Asset Manager,BBB+,A-,USD,USD,ATDBCN,BNCN,FIXED,FIXED,10.1-25.1,5.1-7.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
ATDBCN 3 5/8 05/13/51,CCOCN 2.95 10/21/27,77.5381,2.0516,78.5805,39.0234,-1.0424,38.5148,99.4048,56.3602,Non Financial Maples,Other,BBB+,BBB-,USD,CAD,ATDBCN,CCOCN,FIXED,FIXED,>25.1,2.1-3.1,3-5,3-5,0,,,,,,,,,,63.0000,53.0000,10.0000,NBF,NBF,5000000.0000,2000000.0000,58.1200,AXE
BCECN 1.65 08/16/27,CCDJ 1.992 05/28/31,-1.5482,2.0298,-1.5482,-37.8881,0.0000,36.3398,99.8016,-1.9367,Cable/Telco,Non Major Sub Debt,BBB,A-,CAD,CAD,BCECN,CCDJ,FIXED,VARIABLE,2.1-3.1,5.1-7.1,3-5,3-5,0,30.0000,,,NBF,,5000000.0000,,38.7000,,38.0000,28.0000,10.0000,NBF,NBF,25000000.0000,5000000.0000,37.0200,AXE
ATDBCN 3.439 05/13/41,CIXCN 3.2 12/17/30,-32.9527,1.9899,-32.3167,-91.5689,-0.6360,58.6162,99.4048,-37.6476,Non Financial Maples,Asset Manager,BBB+,NR,USD,USD,ATDBCN,CIXCN,FIXED,FIXED,10.1-25.1,5.1-7.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
ALTALK 1.509 09/11/30,BCECN 3 03/17/31,-58.5348,-1.9872,-33.2577,-59.7878,-25.2771,1.2530,4.5635,-60.9940,Utility,Cable/Telco,A-,BBB,CAD,CAD,ALTALK,BCECN,FIXED,FIXED,5.1-7.1,5.1-7.1,3-5,3-5,0,36.0000,26.0000,10.0000,RBC,RBC,3000000.0000,3000000.0000,33.0600,,98.0000,94.0000,4.0000,TD,RBC,10000000.0000,5000000.0000,96.1000,AXE
ATDBCN 3 5/8 05/13/51,BNCN 3 1/2 03/30/51,23.9185,1.9737,23.9185,-1.9866,0.0000,25.9051,99.6032,12.0421,Non Financial Maples,Asset Manager,BBB+,A-,USD,USD,ATDBCN,BNCN,FIXED,FIXED,>25.1,>25.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
