Security,Bid Spread,Ask Spread,Bid Size,Ask Size,DoD,WoW,MTD,QTD,YTD,1YR,DoD Chg Bid Size,DoD Chg Ask Size,MTD Chg Bid Size,MTD Chg Ask Size,Best Bid,Best Offer,Bid/Offer,Dealer @ Best Bid,Dealer @ Best Offer,Size @ Best Bid,Size @ Best Offer,CUSIP,G Spread,Keyword
TCN 5.15 11/26/43,160.0,155.0,0.0,5000000.0,-2.0,-8.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,158.0,153.0,5.0,TD,TD,3000000.0,3000000.0,87971MAU7,167.99,AXE
TCN 5.15 11/26/43,163.0,158.0,5000000.0,3000000.0,-2.0,-6.0,-2.0,-2.0,-62.0,-62.0,0.0,1000000.0,0.0,1000000.0,158.0,153.0,5.0,TD,TD,3000000.0,3000000.0,87971MAU7,170.9,
TCN 4.85 04/05/44,160.0,156.0,5000000.0,1000000.0,-2.0,-7.0,-2.0,-2.0,-63.0,-63.0,0.0,0.0,0.0,0.0,158.0,153.0,5.0,TD,TD,5000000.0,5000000.0,87971MAW3,168.0,
TCN 4.85 04/05/44,160.0,155.0,5000000.0,5000000.0,-2.0,-7.0,-2.0,-2.0,-66.0,-66.0,0.0,0.0,0.0,0.0,158.0,153.0,5.0,TD,TD,5000000.0,5000000.0,87971MAW3,167.59,
XCN 4.97 02/16/34,99.0,94.0,3000000.0,0.0,-2.0,-3.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,97.0,92.0,5.0,TD,TD,3000000.0,3000000.0,87262KAJ4,99.2,
SLFCN 5 1/2 07/04/35,98.0,94.0,5000000.0,0.0,-2.0,-3.0,-2.0,-2.0,-84.0,-84.0,0.0,0.0,0.0,0.0,95.0,90.0,5.0,TD,TD,5000000.0,5000000.0,86682ZAT3,97.16,
XCN 3.779 06/05/28,56.0,51.0,5000000.0,0.0,-2.0,-6.0,-2.0,-2.0,-45.0,-45.0,0.0,0.0,0.0,0.0,56.0,53.0,3.0,NBF,BMO,5000000.0,3000000.0,87262KAE5,55.9,AXE
XCN 3.779 06/05/28,65.0,60.0,5000000.0,0.0,-2.0,-3.0,-2.0,-2.0,-54.0,-54.0,0.0,0.0,0.0,0.0,56.0,53.0,3.0,NBF,BMO,5000000.0,3000000.0,87262KAE5,65.0,
SLFCN 5.12 05/15/36,103.0,99.0,3000000.0,2975000.0,-2.0,-3.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,99.0,94.0,5.0,TD,TD,10000000.0,5000000.0,86682ZAU0,103.48,
SLFCN 5.12 05/15/36,101.0,96.0,5000000.0,0.0,-2.0,-4.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,99.0,94.0,5.0,TD,TD,10000000.0,5000000.0,86682ZAU0,101.47,AXE
SUCN 3 09/14/26,53.0,43.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-48.0,-48.0,0.0,0.0,0.0,0.0,58.0,67.0,-9.0,NBF,BMO,5000000.0,2000000.0,86721ZAM1,51.35,
