Security,Bid Spread,Ask Spread,Bid Size,Ask Size,DoD,WoW,MTD,QTD,YTD,1YR,DoD Chg Bid Size,DoD Chg Ask Size,MTD Chg Bid Size,MTD Chg Ask Size,Best Bid,Best Offer,Bid/Offer,Dealer @ Best Bid,Dealer @ Best Offer,Size @ Best Bid,Size @ Best Offer,CUSIP,G Spread,Keyword
MICCN 4.95 03/24/2081,2023.0,1695.0,0.0,0.0,-165.0,,-165.0,-165.0,,,0.0,0.0,0.0,0.0,,1735.2,,,TD,,2000000.0,786688AC5,2020.34,
GWOCN 3.6 12/31/2081,937.0,874.0,1000000.0,5000000.0,-28.0,-4.0,-28.0,-28.0,-52.0,-52.0,0.0,0.0,0.0,0.0,906.0,853.21,52.789999999999964,BMO,CIBC,2000000.0,2000000.0,39138CAL0,936.54,AXE
RY 4 02/24/2081,251.0,182.0,2000000.0,3000000.0,-28.0,-29.0,-28.0,-28.0,,,0.0,0.0,0.0,0.0,236.0,182.0,54.0,NBF,BMO,2000000.0,3000000.0,780086SV7,248.23,
TD 3.6 10/31/2081,952.0,907.0,2000000.0,5000000.0,-26.0,9.0,-26.0,-26.0,-142.0999999999999,-142.0999999999999,0.0,0.0,0.0,0.0,901.0,907.0,-6.0,SCM,BMO,2000000.0,5000000.0,89117FM63,951.08,
RY 3.65 11/24/2081,974.0,928.0,2000000.0,1000000.0,-26.0,9.0,-26.0,-26.0,-124.09999999999991,-124.09999999999991,0.0,0.0,0.0,0.0,974.0,940.0,34.0,BMO,RBC,2000000.0,3000000.0,780086TQ7,972.84,
CM 4 3/8 10/28/2080,186.0,144.0,5000000.0,5000000.0,-25.0,-28.0,-25.0,-25.0,-214.0,-214.0,0.0,0.0,0.0,0.0,184.31,101.23,83.08,CIBC,CIBC,3000000.0,3000000.0,13607HCD2,183.54,
MFCCN 3 3/8 06/19/2081,1256.0,1194.0,2000000.0,1000000.0,-18.0,19.0,-18.0,-18.0,217.79999999999995,217.79999999999995,0.0,0.0,0.0,0.0,1210.0,1148.0,62.0,RBC,RBC,3000000.0,3000000.0,56501RAL0,1255.57,
IFCCN 4 1/8 03/31/2081,384.0,226.0,0.0,0.0,-18.0,-35.0,-18.0,-18.0,,,0.0,0.0,0.0,0.0,319.0,,,RBC,,2000000.0,,45823TAD8,382.61,
BNS 3.7 07/27/2081,1225.0,1169.0,3000000.0,3000000.0,-18.0,31.0,-18.0,-18.0,13.0,13.0,0.0,0.0,0.0,0.0,1200.0,1156.0,44.0,BMO,RBC,2000000.0,3000000.0,06415FRB0,1224.83,
TD 3.6 10/31/2081,983.0,939.0,3000000.0,3000000.0,-18.0,19.0,-18.0,-18.0,-142.0,-142.0,0.0,0.0,0.0,0.0,901.0,907.0,-6.0,SCM,BMO,2000000.0,5000000.0,89117FM63,983.56,AXE
RY 3.65 11/24/2081,996.0,951.0,3000000.0,3000000.0,-17.0,18.0,-17.0,-17.0,-103.0,-103.0,0.0,0.0,0.0,0.0,974.0,940.0,34.0,BMO,RBC,2000000.0,3000000.0,780086TQ7,994.38,AXE
EQBCN 8 10/31/2084,415.0,396.0,2000000.0,1000000.0,-17.0,-18.0,-17.0,-17.0,,,0.0,0.0,0.0,0.0,415.0,,,TD,,2000000.0,,26886RAB0,414.45,
BNP 2.538 07/13/29,89.0,79.0,5000000.0,0.0,-16.0,-16.0,-16.0,-16.0,,,3000000.0,0.0,3000000.0,0.0,88.0,,,CIBC,,2000000.0,,BQ4211257,85.01,
GWOCN 3.6 12/31/2081,906.0,864.0,2000000.0,3000000.0,-16.0,7.0,-16.0,-16.0,-57.10000000000002,-57.10000000000002,0.0,0.0,0.0,0.0,906.0,853.21,52.789999999999964,BMO,CIBC,2000000.0,2000000.0,39138CAL0,906.02,
RCICN 5 12/17/2081,211.0,197.0,5000000.0,5000000.0,-16.0,-7.0,-16.0,-16.0,,,0.0,0.0,0.0,0.0,211.0,197.0,14.0,BMO,BMO,5000000.0,5000000.0,775109BR1,210.51,
BNS 3.7 07/27/2081,1200.0,1157.0,2000000.0,2000000.0,-16.0,33.0,-16.0,-16.0,-71.20000000000005,-71.20000000000005,0.0,0.0,0.0,0.0,1200.0,1156.0,44.0,BMO,RBC,2000000.0,3000000.0,06415FRB0,1197.75,
NACN 4.3 11/15/2080,192.0,140.0,2000000.0,2000000.0,-16.0,-31.0,-16.0,-16.0,-219.0,-219.0,0.0,0.0,0.0,0.0,192.0,140.0,52.0,NBF,NBF,2000000.0,2000000.0,63306AGL4,194.41,
MFCCN 4.1 03/19/2082,847.0,811.0,2000000.0,2000000.0,-15.0,3.0,-15.0,-15.0,-107.79999999999995,-107.79999999999995,0.0,0.0,0.0,0.0,847.0,811.0,36.0,BMO,BMO,2000000.0,2000000.0,56501RAM8,847.25,
RY 4 02/24/2081,250.0,215.0,1000000.0,0.0,-15.0,-30.0,-15.0,-15.0,,,0.0,0.0,0.0,0.0,236.0,182.0,54.0,NBF,BMO,2000000.0,3000000.0,780086SV7,246.26,
BMO 4.3 11/26/2080,183.0,157.0,3000000.0,2000000.0,-14.0,-20.0,-14.0,-14.0,-213.0,-213.0,0.0,0.0,0.0,0.0,183.0,123.12,59.879999999999995,NBF,CIBC,3000000.0,3000000.0,06368DJQ8,184.11,
ELFCN 3 5/8 04/17/2081,1400.0,1250.0,1000000.0,0.0,-14.0,27.0,-14.0,-14.0,,,0.0,0.0,0.0,0.0,1302.0,1192.0,110.0,RBC,RBC,2000000.0,2000000.0,291839AF5,1399.72,
MFCCN 7.117 06/19/2082,239.0,212.0,3000000.0,1000000.0,-14.0,-6.0,-14.0,-14.0,-140.0,-140.0,0.0,0.0,0.0,0.0,225.0,,,RBC,,5000000.0,,56501RAP1,241.58,
TD 5.909 01/31/2085,380.0,368.0,3000000.0,3000000.0,-13.0,-9.0,-13.0,-13.0,,,0.0,0.0,0.0,0.0,379.0,361.0,18.0,NBF,NBF,2000000.0,2000000.0,89116CVK0,376.91,
MFCCN 7.117 06/19/2082,231.0,187.0,2000000.0,1000000.0,-13.0,-23.0,-13.0,-13.0,-159.0,-159.0,0.0,0.0,0.0,0.0,225.0,,,RBC,,5000000.0,,56501RAP1,229.8,
PKICN 3 7/8 06/16/26,142.8,52.25,3000000.0,0.0,-12.839999999999975,-0.1799999999999784,-12.839999999999975,-12.839999999999975,,,0.0,-7000000.0,0.0,-7000000.0,137.15,-361.1,498.25,BMO,BMO,5000000.0,2000000.0,70137WAJ7,141.42,
NACN 4.05 08/15/2081,741.0,659.0,2000000.0,2000000.0,-12.0,3.0,-12.0,-12.0,-434.0,-434.0,0.0,0.0,0.0,0.0,729.0,659.0,70.0,BMO,NBF,2000000.0,2000000.0,63306AGP5,740.21,
TD 7.232 PERP,223.0,207.0,3000000.0,1000000.0,-12.0,-4.0,-12.0,-12.0,,,0.0,0.0,0.0,0.0,223.0,202.0,21.0,BMO,NBF,3000000.0,2000000.0,89117GHH3,218.0,
BAMREP 5.45 03/12/55,270.0,258.0,3000000.0,1000000.0,-12.0,4.0,-12.0,-12.0,,,0.0,0.0,0.0,0.0,268.0,255.0,13.0,RBC,RBC,2000000.0,2000000.0,112910AB0,271.63,
BNS 7.023 07/27/2082,243.0,217.0,3000000.0,5000000.0,-12.0,-10.0,-12.0,-12.0,,,0.0,0.0,0.0,0.0,237.0,195.0,42.0,NBF,NBF,2000000.0,2000000.0,06415GMJ6,239.77,
BMO 5 5/8 05/26/2082,229.0,186.0,2000000.0,1000000.0,-11.0,-19.0,-11.0,-11.0,-167.0,-167.0,0.0,0.0,0.0,0.0,220.0,203.0,17.0,BMO,RBC,5000000.0,2000000.0,06368DA87,228.02,
IAGCN 6.921 09/30/2084,338.0,325.0,2000000.0,1000000.0,-11.0,-3.0,-11.0,-11.0,,,0.0,0.0,0.0,0.0,324.0,311.0,13.0,RBC,RBC,5000000.0,2000000.0,45075EAF1,332.77,
NWRWPT 2.8 06/01/31,74.0,69.0,5000000.0,3000000.0,-11.0,-15.0,-11.0,-11.0,-61.0,-61.0,0.0,2000000.0,0.0,2000000.0,74.0,68.0,6.0,TD,RBC,5000000.0,5000000.0,663307AQ9,74.0,
CM 4 01/28/2082,554.0,505.0,2000000.0,2000000.0,-11.0,-1.0,-11.0,-11.0,-329.0,-329.0,0.0,0.0,0.0,0.0,547.0,475.0,72.0,BMO,SCM,3000000.0,2000000.0,13607HXC1,554.37,
PPLCN 5.95 06/06/55,256.0,250.0,2000000.0,2000000.0,-11.0,6.0,-11.0,-11.0,,,0.0,0.0,0.0,0.0,256.0,250.0,6.0,BMO,BMO,2000000.0,2000000.0,706327AL7,254.26,
BMO 5 5/8 05/26/2082,220.0,198.0,5000000.0,1000000.0,-11.0,,-11.0,-11.0,-171.0,-171.0,0.0,0.0,0.0,0.0,220.0,203.0,17.0,BMO,RBC,5000000.0,2000000.0,06368DA87,217.27,
TD 7.283 10/31/2082,240.0,218.0,5000000.0,2000000.0,-11.0,-3.0,-11.0,-11.0,,,0.0,0.0,0.0,0.0,232.0,196.0,36.0,RBC,NBF,5000000.0,2000000.0,89117GLM7,234.09,
BAMREP 5.373 09/10/55,235.0,230.0,2000000.0,2000000.0,-11.0,2.0,-11.0,-11.0,,,0.0,0.0,0.0,0.0,235.0,229.0,6.0,BMO,NBF,2000000.0,2000000.0,112910AC8,234.32,
KEYCN 6 7/8 06/13/2079,273.0,255.0,2000000.0,2000000.0,-11.0,4.0,-11.0,-11.0,,,0.0,0.0,0.0,0.0,259.0,245.0,14.0,CIBC,CIBC,2000000.0,2000000.0,493271AC4,270.43,
IPLCN 6 5/8 11/19/2079,337.0,324.0,3000000.0,3000000.0,-11.0,11.0,-11.0,-11.0,,,0.0,0.0,0.0,0.0,317.0,304.0,13.0,CIBC,CIBC,2000000.0,2000000.0,45833VAB5,330.44,
GWOCN 3.6 12/31/2081,936.0,872.0,1000000.0,1000000.0,-11.0,17.0,-11.0,-11.0,-76.0,-76.0,0.0,0.0,0.0,0.0,906.0,853.21,52.789999999999964,BMO,CIBC,2000000.0,2000000.0,39138CAL0,936.62,
BIP 5.598 09/01/55,266.0,258.0,2000000.0,1000000.0,-11.0,7.0,-11.0,-11.0,,,0.0,0.0,0.0,0.0,260.0,253.0,7.0,NBF,RBC,2000000.0,2000000.0,11276BAB5,262.56,
CM 7.365 PERP,252.0,235.0,1000000.0,1000000.0,-11.0,-10.0,-11.0,-11.0,,,0.0,0.0,0.0,0.0,234.0,213.0,21.0,TD,RBC,3000000.0,2000000.0,13607H8Z8,246.43,
KEYCN 5.95 03/10/2081,290.0,277.0,3000000.0,5000000.0,-11.0,4.0,-11.0,-11.0,,,0.0,0.0,0.0,0.0,273.0,262.0,11.0,CIBC,CIBC,2000000.0,2000000.0,493271AD2,289.09,
BCECN 5 5/8 03/27/55,269.28,262.93,2000000.0,2000000.0,-10.78000000000003,-0.5400000000000205,-10.78000000000003,-10.78000000000003,,,0.0,0.0,0.0,0.0,263.9,259.9,4.0,TD,TD,5000000.0,3000000.0,078149DY4,266.47,
RCICN 5 5/8 04/15/55,264.64,258.45,2000000.0,2000000.0,-10.75,-0.4800000000000182,-10.75,-10.75,,,0.0,0.0,0.0,0.0,264.64,257.97,6.669999999999959,SCM,CIBC,2000000.0,5000000.0,775109CX7,265.0,
TCN 6 3/4 07/21/55,275.27,270.29,2000000.0,2000000.0,-10.720000000000027,0.06999999999999318,-10.720000000000027,-10.720000000000027,,,0.0,0.0,0.0,0.0,275.21,267.0,8.20999999999998,CIBC,BMO,3000000.0,2000000.0,87971MCK7,272.88,
BCECN 5 5/8 03/27/55,263.9,259.9,5000000.0,3000000.0,-10.300000000000011,-2.3000000000000114,-10.300000000000011,-10.300000000000011,,,0.0,-2000000.0,0.0,-2000000.0,263.9,259.9,4.0,TD,TD,5000000.0,3000000.0,078149DY4,265.0,
RCICN 5 5/8 04/15/55,265.6,261.8,5000000.0,5000000.0,-10.199999999999989,-3.2999999999999545,-10.199999999999989,-10.199999999999989,,,2000000.0,2000000.0,2000000.0,2000000.0,264.64,257.97,6.669999999999959,SCM,CIBC,2000000.0,5000000.0,775109CX7,266.0,
NACN 7 1/2 11/16/2082,231.0,186.0,3000000.0,1000000.0,-10.0,-19.0,-10.0,-10.0,-193.0,-193.0,0.0,0.0,0.0,0.0,231.0,216.0,15.0,NBF,TD,3000000.0,2000000.0,63306AHJ8,226.54,
CM 7.15 07/28/2082,238.0,212.0,2000000.0,2000000.0,-10.0,-13.0,-10.0,-10.0,-181.0,-181.0,0.0,0.0,0.0,0.0,234.0,211.23,22.77000000000001,RBC,CIBC,3000000.0,2000000.0,13607H3D2,235.63,
CM 4 3/8 10/28/2080,186.0,82.0,3000000.0,0.0,-10.0,-23.0,-10.0,-10.0,-216.0,-216.0,0.0,0.0,0.0,0.0,184.31,101.23,83.08,CIBC,CIBC,3000000.0,3000000.0,13607HCD2,188.43,
NWRWPT 4 3/4 06/01/37,115.0,110.0,5000000.0,1000000.0,-10.0,-9.0,-10.0,-10.0,-40.0,-40.0,0.0,0.0,0.0,0.0,110.0,108.0,2.0,RBC,NBF,5000000.0,3000000.0,663307AG1,118.0,
TD 7.283 10/31/2082,234.0,196.0,3000000.0,2000000.0,-10.0,-14.0,-10.0,-10.0,-170.0,-170.0,0.0,0.0,0.0,0.0,232.0,196.0,36.0,RBC,NBF,5000000.0,2000000.0,89117GLM7,229.07,
CM 7.365 PERP,246.0,200.0,1000000.0,1000000.0,-10.0,-12.0,-10.0,-10.0,,,0.0,0.0,0.0,0.0,234.0,213.0,21.0,TD,RBC,3000000.0,2000000.0,13607H8Z8,243.5,
HNDA Float 06/29/26,49.0,44.0,5000000.0,0.0,-10.0,-14.0,-10.0,-10.0,,,0.0,0.0,0.0,0.0,49.0,,,CIBC,,5000000.0,,438121BF1,,
NVACN 7 7/8 07/23/26,112.0,-546.0,2000000.0,1000000.0,-10.0,-31.0,-10.0,-10.0,,,0.0,0.0,0.0,0.0,112.0,,,NBF,,2000000.0,,67072QAE4,111.07,
GSYCN 6 05/15/30,315.0,304.0,1000000.0,1000000.0,-10.0,2.0,-10.0,-10.0,,,0.0,0.0,0.0,0.0,306.8,284.96,21.840000000000032,BMO,BMO,2000000.0,2000000.0,380355AK3,315.71,
RY 4.2 PERP,852.0,779.0,2000000.0,0.0,-10.0,8.0,-10.0,-10.0,,,0.0,0.0,0.0,0.0,852.0,,,NBF,,2000000.0,,780086UF9,852.61,
BCECN 5 5/8 03/27/55,264.0,260.0,3000000.0,3000000.0,-10.0,9.0,-10.0,-10.0,,,0.0,0.0,0.0,0.0,263.9,259.9,4.0,TD,TD,5000000.0,3000000.0,078149DY4,264.4,
BNS 7.023 07/27/2082,237.0,195.0,2000000.0,2000000.0,-10.0,-19.0,-10.0,-10.0,-190.0,-190.0,0.0,0.0,0.0,0.0,237.0,195.0,42.0,NBF,NBF,2000000.0,2000000.0,06415GMJ6,235.08,
TCN 6 3/4 07/21/55,276.0,267.0,3000000.0,2000000.0,-10.0,4.0,-10.0,-10.0,,,0.0,0.0,0.0,0.0,275.21,267.0,8.20999999999998,CIBC,BMO,3000000.0,2000000.0,87971MCK7,272.77,
IAGCN 6.611 06/30/2082,237.0,180.0,2000000.0,2000000.0,-10.0,-16.0,-10.0,-10.0,-153.0,-153.0,0.0,0.0,0.0,0.0,228.0,180.0,48.0,RBC,NBF,3000000.0,2000000.0,45075EAD6,235.3,
TCN 6 1/4 07/21/55,265.48,259.59,2000000.0,2000000.0,-9.419999999999959,1.0600000000000023,-9.419999999999959,-9.419999999999959,,,0.0,0.0,0.0,0.0,264.0,257.34,6.660000000000025,BMO,CIBC,3000000.0,4000000.0,87971MCJ0,263.7,
GSYCN 6 05/15/30,306.8,284.96,2000000.0,2000000.0,-9.060000000000002,-22.170000000000016,-9.060000000000002,-9.060000000000002,,,0.0,0.0,0.0,0.0,306.8,284.96,21.840000000000032,BMO,BMO,2000000.0,2000000.0,380355AK3,310.0,
BMO 7.325 11/26/2082,238.0,219.0,3000000.0,2000000.0,-9.0,-13.0,-9.0,-9.0,-173.0,-173.0,1000000.0,-1000000.0,1000000.0,-1000000.0,235.0,219.0,16.0,BMO,BMO,5000000.0,2000000.0,06368D8W7,232.45,
ACACN 4 5/8 08/15/29,214.0,194.0,2000.0,1000.0,-9.0,-9.0,-9.0,-9.0,-79.0,-79.0,0.0,0.0,0.0,0.0,198.0,181.0,17.0,CIBC,NBF,2000000.0,2000000.0,008911BL2,211.57,
HCG 5.759 05/19/26,109.0,99.0,0.0,0.0,-9.0,-10.0,-9.0,-9.0,,,0.0,0.0,0.0,0.0,90.0,75.0,15.0,SCM,SCM,5000000.0,2000000.0,437376AF3,109.0,
RCICN 5 5/8 04/15/55,269.0,266.0,3000000.0,1000000.0,-9.0,4.0,-9.0,-9.0,,,0.0,0.0,0.0,0.0,264.64,257.97,6.669999999999959,SCM,CIBC,2000000.0,5000000.0,775109CX7,264.87,
TD 7.232 PERP,234.0,202.0,2000000.0,2000000.0,-9.0,-13.0,-9.0,-9.0,-167.0,-167.0,0.0,0.0,0.0,0.0,223.0,202.0,21.0,BMO,NBF,3000000.0,2000000.0,89117GHH3,228.6,
ZZZCN 6 5/8 11/28/32,343.0,330.0,2000.0,2000.0,-9.0,0.0,-9.0,-9.0,,,0.0,0.0,0.0,0.0,347.0,331.0,16.0,NBF,CIBC,2000000.0,2000000.0,83125JAA2,375.02,
TRPCN 3.3 07/17/25,35.0,30.0,10000000.0,0.0,-9.0,-12.0,-9.0,-9.0,-35.0,-35.0,0.0,0.0,0.0,0.0,35.0,29.28,5.719999999999999,NBF,SCM,10000000.0,10671000.0,89353ZBY3,36.84,
GEICN 2.45 07/14/25,40.0,35.0,10000000.0,0.0,-9.0,-12.0,-9.0,-9.0,-59.0,-59.0,0.0,0.0,0.0,0.0,40.0,,,NBF,,10000000.0,,37482ZAB7,41.66,
GSYCN 6 05/15/30,325.0,313.0,1000.0,1000.0,-9.0,-1.0,-9.0,-9.0,,,0.0,0.0,0.0,0.0,306.8,284.96,21.840000000000032,BMO,BMO,2000000.0,2000000.0,380355AK3,319.81,
IFCCN 7.338 06/30/2083,258.0,218.0,0.0,0.0,-9.0,-11.0,-9.0,-9.0,-145.0,-145.0,0.0,0.0,0.0,0.0,249.0,,,RBC,,2000000.0,,45823TAM8,255.79,
RY 7.408 PERP,273.0,259.0,3000000.0,1000000.0,-9.0,-23.0,-9.0,-9.0,,,0.0,0.0,0.0,0.0,273.0,,,RBC,,3000000.0,,780086X66,267.85,AXE
ATSCN 6 1/2 08/21/32,320.0,307.0,2000.0,2000.0,-9.0,0.0,-9.0,-9.0,,,0.0,0.0,0.0,0.0,322.0,302.16,19.839999999999975,CIBC,BMO,2000000.0,2000000.0,00217YAA2,350.9,
CM 6.987 07/28/2084,337.0,326.0,2000000.0,1000000.0,-9.0,4.0,-9.0,-9.0,,,0.0,0.0,0.0,0.0,333.0,315.0,18.0,RBC,SCM,2000000.0,2000000.0,13607PCM4,331.18,
TCN 6 1/4 07/21/55,268.0,264.6,3000000.0,3000000.0,-8.800000000000011,-0.30000000000001137,-8.800000000000011,-8.800000000000011,,,0.0,0.0,0.0,0.0,264.0,257.34,6.660000000000025,BMO,CIBC,3000000.0,4000000.0,87971MCJ0,263.0,
RY 6.698 PERP,324.0,312.0,1000000.0,1000000.0,-8.0,-2.0,-8.0,-8.0,,,0.0,0.0,0.0,0.0,316.2,303.1,13.099999999999966,RBC,RBC,5000000.0,5000000.0,7800866S8,322.08,
BMO 7.373 PERP,240.0,197.0,2000000.0,1000000.0,-8.0,-16.0,-8.0,-8.0,-166.0,-166.0,0.0,0.0,0.0,0.0,235.0,214.0,21.0,RBC,RBC,3000000.0,3000000.0,06368D4E1,234.93,
GM 4.45 02/25/30,144.0,137.0,5000000.0,0.0,-8.0,-15.0,-8.0,-8.0,,,0.0,0.0,0.0,0.0,135.0,130.0,5.0,BMO,BMO,5000000.0,5000000.0,37045YAN4,145.0,
AQNCN 5 1/4 01/18/2082,260.0,246.0,1000000.0,1000000.0,-8.0,-4.0,-8.0,-8.0,,,0.0,0.0,0.0,0.0,,,,,,,,015857AG0,256.0,
IPLCN 6 5/8 11/19/2079,317.0,304.0,2000000.0,2000000.0,-8.0,-11.0,-8.0,-8.0,-153.0,-153.0,0.0,0.0,0.0,0.0,317.0,304.0,13.0,CIBC,CIBC,2000000.0,2000000.0,45833VAB5,311.0,
PKICN 4 3/8 03/26/29,226.0,211.0,5000.0,2000.0,-8.0,9.0,-8.0,-8.0,-86.0,-86.0,0.0,0.0,0.0,0.0,199.24,184.37,14.870000000000005,CIBC,CIBC,3000000.0,2000000.0,70137WAF5,225.32,
HVYMTL 7 1/4 02/26/30,519.0,492.0,1000.0,1000.0,-8.0,13.0,-8.0,-8.0,,,0.0,0.0,0.0,0.0,,,,,,,,90207MAB9,520.52,
IAGCN 6.435 PERP,335.0,323.0,3000000.0,1000000.0,-8.0,-5.0,-8.0,-8.0,,,0.0,0.0,0.0,0.0,332.0,327.0,5.0,RBC,TD,3000000.0,3000000.0,45075EAH7,333.83,
CCACN 6 1/8 02/27/29,188.0,166.0,3000.0,3000.0,-8.0,-2.0,-8.0,-8.0,,,0.0,0.0,0.0,0.0,191.7,156.7,35.0,BMO,BMO,2000000.0,2000000.0,19239CAC0,199.72,
CM 7.337 PERP,291.0,277.0,5000000.0,1000000.0,-8.0,-26.0,-8.0,-8.0,,,0.0,0.0,0.0,0.0,289.0,275.0,14.0,RBC,RBC,5000000.0,5000000.0,13607L2Q5,291.26,AXE
RCICN 5 12/17/2081,216.0,205.0,5000000.0,3000000.0,-8.0,-8.0,-8.0,-8.0,-135.0,-135.0,0.0,0.0,0.0,0.0,211.0,197.0,14.0,BMO,BMO,5000000.0,5000000.0,775109BR1,216.45,
RY 7.408 PERP,289.0,259.0,1000000.0,1000000.0,-8.0,-10.0,-8.0,-8.0,,,0.0,0.0,0.0,0.0,273.0,,,RBC,,3000000.0,,780086X66,284.86,
F 5.046 01/09/32,278.0,268.0,3000000.0,1000000.0,-8.0,-20.0,-8.0,-8.0,,,0.0,1000000.0,0.0,1000000.0,278.0,274.0,4.0,CIBC,SCM,3000000.0,3000000.0,34527ADC1,277.0,
GEICN 8.7 07/12/2083,248.0,231.0,2000000.0,2000000.0,-8.0,-2.0,-8.0,-8.0,,,0.0,0.0,0.0,0.0,248.0,231.0,17.0,CIBC,CIBC,2000000.0,2000000.0,374825AK3,250.0,
TERANE 5.754 12/17/40,218.0,208.0,2000000.0,0.0,-8.0,-11.0,-8.0,-8.0,,,0.0,0.0,0.0,0.0,203.0,,,RBC,,3000000.0,,880789AC6,230.0,AXE
CM 7.337 PERP,302.0,285.0,2000000.0,1000000.0,-8.0,-9.0,-8.0,-8.0,,,0.0,0.0,0.0,0.0,289.0,275.0,14.0,RBC,RBC,5000000.0,5000000.0,13607L2Q5,301.29,
IAGCN 6.435 PERP,332.0,327.0,3000000.0,3000000.0,-8.0,-3.0,-8.0,-8.0,,,0.0,0.0,0.0,0.0,332.0,327.0,5.0,RBC,TD,3000000.0,3000000.0,45075EAH7,331.18,
TCN 6 3/4 07/21/55,277.2,274.5,3000000.0,3000000.0,-7.699999999999989,-1.400000000000034,-7.699999999999989,-7.699999999999989,,,0.0,0.0,0.0,0.0,275.21,267.0,8.20999999999998,CIBC,BMO,3000000.0,2000000.0,87971MCK7,274.0,
ATSCN 6 1/2 08/21/32,322.9,302.16,2000000.0,2000000.0,-7.6299999999999955,2.9699999999999704,-7.6299999999999955,-7.6299999999999955,,,0.0,0.0,0.0,0.0,322.0,302.16,19.839999999999975,CIBC,BMO,2000000.0,2000000.0,00217YAA2,352.0,
RCICN 5 5/8 04/15/55,267.25,257.97,5000000.0,5000000.0,-7.319999999999993,-3.7799999999999727,-7.319999999999993,-7.319999999999993,,,2000000.0,0.0,2000000.0,0.0,264.64,257.97,6.669999999999959,SCM,CIBC,2000000.0,5000000.0,775109CX7,267.0,
BCECN 5 5/8 03/27/55,271.98,262.45,5000000.0,5000000.0,-7.240000000000009,-0.7699999999999818,-7.240000000000009,-7.240000000000009,,,2000000.0,0.0,2000000.0,0.0,263.9,259.9,4.0,TD,TD,5000000.0,3000000.0,078149DY4,269.0,
TCN 6 3/4 07/21/55,275.21,268.58,3000000.0,3000000.0,-7.020000000000039,-2.9399999999999977,-7.020000000000039,-7.020000000000039,,,1000000.0,0.0,1000000.0,0.0,275.21,267.0,8.20999999999998,CIBC,BMO,3000000.0,2000000.0,87971MCK7,273.0,
F 5.582 05/23/31,271.0,261.0,3000000.0,1000000.0,-7.0,-18.0,-7.0,-7.0,,,0.0,0.0,0.0,0.0,270.0,260.0,10.0,TD,TD,3000000.0,3000000.0,34527ACX6,271.0,
ZZZCN 6 5/8 11/28/32,347.0,363.0,2000000.0,2000000.0,-7.0,5.0,-7.0,-7.0,,,0.0,0.0,0.0,0.0,347.0,331.0,16.0,NBF,CIBC,2000000.0,2000000.0,83125JAA2,346.21,
GM 5 02/09/29,132.0,127.0,5000000.0,2000000.0,-7.0,-16.0,-7.0,-7.0,,,0.0,0.0,0.0,0.0,129.0,124.0,5.0,BMO,BMO,5000000.0,2000000.0,37045YAL8,128.0,
IAGCN 6.921 09/30/2084,332.0,320.0,2000000.0,2000000.0,-7.0,-4.0,-7.0,-7.0,,,0.0,0.0,0.0,0.0,324.0,311.0,13.0,RBC,RBC,5000000.0,2000000.0,45075EAF1,331.62,
GM 5 02/09/29,129.0,124.0,5000000.0,2000000.0,-7.0,-15.0,-7.0,-7.0,,,0.0,0.0,0.0,0.0,129.0,124.0,5.0,BMO,BMO,5000000.0,2000000.0,37045YAL8,126.0,
PPLCN 4.8 01/25/2081,226.0,215.0,1000000.0,3000000.0,-7.0,-2.0,-7.0,-7.0,,,0.0,0.0,0.0,0.0,230.0,215.0,15.0,NBF,CIBC,3000000.0,3000000.0,706327AK9,227.0,
TCN 6 3/4 07/21/55,279.0,274.0,3000000.0,5000000.0,-7.0,2.0,-7.0,-7.0,,,0.0,0.0,0.0,0.0,275.21,267.0,8.20999999999998,CIBC,BMO,3000000.0,2000000.0,87971MCK7,277.05,
CPXCN 8 1/8 06/05/54,347.0,336.0,2000000.0,2000000.0,-7.0,3.0,-7.0,-7.0,,,0.0,0.0,0.0,0.0,345.0,334.0,11.0,TD,TD,3000000.0,3000000.0,14042MAC6,349.54,
ALACN 7.35 08/17/2082,210.0,186.0,2000000.0,2000000.0,-7.0,-11.0,-7.0,-7.0,,,0.0,0.0,0.0,0.0,210.0,186.0,24.0,CIBC,CIBC,2000000.0,2000000.0,021361AB6,210.0,
BMO 4.3 11/26/2080,193.0,183.0,5000000.0,5000000.0,-7.0,-12.0,-7.0,-7.0,-201.0,-201.0,0.0,0.0,0.0,0.0,183.0,123.12,59.879999999999995,NBF,CIBC,3000000.0,3000000.0,06368DJQ8,185.47,
CPXCN 8 1/8 06/05/54,333.0,326.0,1000000.0,1000000.0,-7.0,-6.0,-7.0,-7.0,,,0.0,0.0,0.0,0.0,345.0,334.0,11.0,TD,TD,3000000.0,3000000.0,14042MAC6,335.0,
IAGCN 6.921 09/30/2084,330.0,318.0,5000000.0,1000000.0,-7.0,-3.0,-7.0,-7.0,,,0.0,0.0,0.0,0.0,324.0,311.0,13.0,RBC,RBC,5000000.0,2000000.0,45075EAF1,329.5,
KEYCN 5.95 03/10/2081,273.0,262.0,2000000.0,2000000.0,-7.0,-5.0,-7.0,-7.0,,,0.0,0.0,0.0,0.0,273.0,262.0,11.0,CIBC,CIBC,2000000.0,2000000.0,493271AD2,273.0,
GM 5 02/09/29,135.0,128.0,5000000.0,2000000.0,-7.0,-15.0,-7.0,-7.0,,,0.0,0.0,0.0,0.0,129.0,124.0,5.0,BMO,BMO,5000000.0,2000000.0,37045YAL8,131.0,
